time,temperature,cost,edge_cost,travel_cost,delay_cost
1307,11.476664116296863,343,99,104,140
1308,11.46788990825688,346,53,113,180
1309,11.45912910618793,346,53,113,180
1310,11.450381679389313,346,53,113,180
1311,11.441647597254004,346,53,113,180
1312,11.432926829268293,346,53,113,180
1313,11.424219345011425,346,53,113,180
1314,11.415525114155251,346,53,113,180
1315,11.406844106463879,346,53,113,180
1316,11.398176291793312,346,53,113,180
1317,11.389521640091116,346,53,113,180
1318,11.380880121396055,346,53,113,180
1319,11.372251705837757,346,53,113,180
1320,11.363636363636363,346,53,113,180
1321,11.355034065102195,346,53,113,180
1322,11.346444780635402,346,53,113,180
1323,11.337868480725623,346,53,113,180
1324,11.329305135951662,346,53,113,180
1325,11.320754716981131,346,53,113,180
1326,11.312217194570136,346,53,113,180
1327,11.303692539562924,346,53,113,180
1328,11.295180722891565,346,53,113,180
1329,11.286681715575622,348,55,113,180
1330,11.278195488721805,348,55,113,180
1331,11.269722013523666,348,55,113,180
1332,11.26126126126126,348,55,113,180
1333,11.252813203300825,386,42,114,230
1334,11.244377811094452,377,82,105,190
1335,11.235955056179776,377,82,105,190
1336,11.22754491017964,377,82,105,190
1337,11.219147344801796,410,66,114,230
1338,11.210762331838565,410,66,114,230
1339,11.202389843166543,374,79,105,190
1340,11.194029850746269,374,79,105,190
1341,11.185682326621924,374,79,105,190
1342,11.177347242921014,374,79,105,190
1343,11.169024571854058,374,79,105,190
1344,11.160714285714286,374,79,105,190
1345,11.152416356877323,374,79,105,190
1346,11.144130757800891,374,79,105,190
1347,11.135857461024498,378,79,119,180
1348,11.127596439169139,396,46,120,230
1349,11.11934766493699,396,46,120,230
1350,11.11111111111111,396,46,120,230
1351,11.102886750555145,396,46,120,230
1352,11.094674556213018,401,47,134,220
1353,11.086474501108647,401,47,134,220
1354,11.078286558345642,401,47,134,220
1355,11.07011070110701,401,47,134,220
1356,11.061946902654867,378,79,119,180
1357,11.05379513633014,380,81,119,180
1358,11.045655375552283,378,79,119,180
1359,11.037527593818984,378,79,119,180
1360,11.029411764705882,378,79,119,180
1361,11.021307861866275,380,81,119,180
1362,11.013215859030836,380,81,119,180
1363,11.005135730007337,380,81,119,180
1364,10.997067448680351,380,81,119,180
1365,10.989010989010989,380,81,119,180
1366,10.980966325036603,380,81,119,180
1367,10.972933430870519,380,81,119,180
1368,10.964912280701755,384,85,119,180
1369,10.95690284879474,342,98,104,140
1370,10.94890510948905,342,98,104,140
1371,10.940919037199125,342,98,104,140
1372,10.932944606413994,342,98,104,140
1373,10.924981791697014,342,98,104,140
1374,10.91703056768559,342,98,104,140
1375,10.909090909090908,342,98,104,140
1376,10.901162790697674,342,98,104,140
1377,10.893246187363834,342,98,104,140
1378,10.88534107402032,342,98,104,140
1379,10.877447425670775,342,98,104,140
1380,10.869565217391305,342,98,104,140
1381,10.861694424330196,342,98,104,140
1382,10.85383502170767,342,98,104,140
1383,10.845986984815617,342,98,104,140
1384,10.83815028901734,342,98,104,140
1385,10.830324909747292,342,98,104,140
1386,10.822510822510823,342,98,104,140
1387,10.814708002883922,342,98,104,140
1388,10.806916426512968,342,98,104,140
1389,10.799136069114471,342,98,104,140
1390,10.79136690647482,343,99,104,140
1391,10.783608914450037,343,99,104,140
1392,10.775862068965518,343,99,104,140
1393,10.768126346015793,338,94,104,140
1394,10.760401721664275,338,94,104,140
1395,10.75268817204301,338,94,104,140
1396,10.744985673352435,338,94,104,140
1397,10.73729420186113,338,94,104,140
1398,10.729613733905579,338,94,104,140
1399,10.72194424588992,338,94,104,140
1400,10.714285714285714,338,94,104,140
1401,10.70663811563169,350,55,105,190
1402,10.699001426533524,350,55,105,190
1403,10.691375623663578,350,55,105,190
1404,10.683760683760683,350,55,105,190
1405,10.676156583629894,360,65,105,190
1406,10.668563300142248,360,65,105,190
1407,10.660980810234541,360,65,105,190
1408,10.653409090909092,360,65,105,190
1409,10.645848119233499,360,65,105,190
1410,10.638297872340425,350,55,105,190
1411,10.630758327427356,350,55,105,190
1412,10.623229461756374,348,55,113,180
1413,10.615711252653927,348,55,113,180
1414,10.608203677510609,348,55,113,180
1415,10.60070671378092,346,53,113,180
1416,10.59322033898305,346,53,113,180
1417,10.585744530698658,346,53,113,180
1418,10.578279266572638,346,53,113,180
1419,10.570824524312897,349,54,105,190
1420,10.56338028169014,349,54,105,190
1421,10.555946516537649,346,53,113,180
1422,10.548523206751055,346,53,113,180
1423,10.541110330288124,346,53,113,180
1424,10.53370786516854,376,83,113,180
1425,10.526315789473685,376,83,113,180
1426,10.518934081346423,370,26,114,230
1427,10.51156271899089,370,26,114,230
1428,10.504201680672269,370,26,114,230
1429,10.496850944716584,370,26,114,230
1430,10.48951048951049,370,26,114,230
1431,10.482180293501049,376,26,120,230
1432,10.474860335195531,376,26,120,230
1433,10.4675505931612,376,26,120,230
1434,10.460251046025105,376,26,120,230
1435,10.452961672473867,376,26,120,230
1436,10.445682451253482,376,26,120,230
1437,10.438413361169102,384,34,120,230
1438,10.43115438108484,384,34,120,230
1439,10.423905489923557,384,34,120,230
1440,10.416666666666666,384,34,120,230
1441,10.40943789035392,380,34,106,240
1442,10.402219140083218,380,34,106,240
1443,10.395010395010395,380,34,106,240
1444,10.387811634349031,380,34,106,240
1445,10.380622837370241,380,34,106,240
1446,10.37344398340249,378,34,114,230
1447,10.366275051831375,378,34,114,230
1448,10.359116022099448,378,34,114,230
1449,10.351966873706004,369,25,114,230
1450,10.344827586206897,369,25,114,230
1451,10.337698139214336,369,25,114,230
1452,10.330578512396695,369,25,114,230
1453,10.323468685478321,369,25,114,230
1454,10.31636863823934,373,29,114,230
1455,10.309278350515465,372,77,105,190
1456,10.302197802197803,373,29,114,230
1457,10.29512697323267,373,29,114,230
1458,10.2880658436214,373,29,114,230
1459,10.28101439342015,369,25,114,230
1460,10.273972602739725,369,25,114,230
1461,10.26694045174538,369,25,114,230
1462,10.259917920656635,369,25,114,230
1463,10.252904989747096,369,25,114,230
1464,10.245901639344263,369,25,114,230
1465,10.238907849829351,357,62,105,190
1466,10.231923601637108,351,58,113,180
1467,10.224948875255624,351,58,113,180
1468,10.217983651226158,351,58,113,180
1469,10.211027910142954,351,58,113,180
1470,10.204081632653061,346,53,113,180
1471,10.197144799456153,346,53,113,180
1472,10.190217391304348,352,53,119,180
